Date,Country,Sentiment
2022-07-24,Russia,-2.24692115689109
2022-11-25,UAE,2.5007199172709158
2023-07-06,China,0.7817895972169836
2020-03-10,USA,-1.4881605269470792
2025-07-28,UAE,0.50888247443546475
2021-11-22,China,0.50883889940218752
2021-04-22,Iraq,-2.386893589493011
2025-04-12,Saudi Arabia,0.44038446443895113
2025-10-06,Iraq,-1.2161156098743127
2025-12-29,China,1.1653117456536579
2024-02-07,UAE,1.9627188417908736
2020-06-16,Russia,-1.6640777981267278
2020-08-23,Russia,-1.7620769462973878
2023-10-20,China,1.4379662717767419
2024-12-30,Canada,-0.56496475975539462
2022-11-27,USA,-0.72263060510191179
2024-08-20,China,1.1863628131701698
2026-03-09,China,1.3614628590461477
2024-12-02,Canada,-0.13924357373920204
2022-09-21,Saudi Arabia,0.81519767579180247
2022-02-15,China,0.83429917355258443
2020-10-18,Russia,-2.9597023942542151
2022-03-28,China,0.017742613860509
2024-11-01,Iraq,-2.311738712192756
2025-04-09,Canada,-0.2325285963173728
2022-11-15,Russia,-2.2914589671954819
2025-08-05,USA,-1.1187380279587671
2020-06-07,USA,-2.5663657373960742
2025-03-02,Canada,-0.0034246650790855618
2020-10-28,Russia,-1.7121583305494459
2020-09-03,UAE,-0.067726739394981084
2023-09-02,Russia,-1.4798679087482911
2023-06-19,Saudi Arabia,0.8635704242251574
2024-02-21,Iraq,-2.6370726204282722
2020-02-17,UAE,0.82530626055920386
2020-11-04,China,0.44494180708379444
2022-03-09,Russia,-2.666098758006199
2025-08-26,China,0.90103038442775174
2021-01-23,USA,-1.2427466704110515
2023-07-30,China,0.79148734991417424
2020-05-11,Canada,-0.612506042869915
2026-02-24,China,1.420143130092852
2024-06-13,UAE,0.19839892175486246
2021-03-17,USA,-1.2632915363564206
2022-05-10,USA,-1.0236002268892401
2021-06-05,Canada,-0.86321781942985987
2021-01-07,UAE,0.839196063006145
2022-11-05,Canada,-0.42986276673210677
2020-01-28,Iraq,-2.7820991022253634
2020-10-16,Saudi Arabia,-0.27507617430439169
2024-11-14,Iraq,-0.954714851150606
2025-10-21,China,1.1075260002159359
2022-01-10,USA,-0.89231935562154174
2022-12-28,Russia,-1.6855538519277256
2024-09-29,UAE,1.1498505086705022
2026-01-24,China,1.2497685066893651
2023-05-02,Russia,-1.8719812002659022
2021-04-05,UAE,0.38882458592149011
2023-11-21,Russia,-1.7929696782192546
2022-01-03,Iraq,-3.2320850358729096
2026-02-20,Russia,-1.8288614025907068
2021-12-08,Canada,-0.30090794310156188
2022-02-22,USA,-1.3449253137331192
2022-09-28,China,0.89805231254194018
2026-01-03,Iraq,-1.9639143153270879
2025-07-04,Saudi Arabia,0.39028422602061097
2021-09-29,USA,-1.0726628724482612
2024-11-03,USA,-0.76821002193303
2023-08-12,Iraq,-1.9986200053862748
2025-12-26,UAE,0.87468405830521379
2025-08-10,Saudi Arabia,0.49633206703012939
2023-04-14,Russia,-2.0659529890262807
2021-01-04,Iraq,-4.4456329909275354
2021-12-17,China,0.57781179343473643
2021-03-28,USA,-1.7291466240163218
2024-05-27,China,1.3302481664106656
2023-08-01,Saudi Arabia,0.29489528470652593
2023-03-07,Canada,-0.24705056827532759
2022-06-18,Canada,-0.22510042524804541
2023-02-11,Iraq,-1.2474876668118489
2024-06-22,China,0.93817909834449309
2021-10-27,Canada,0.13396750656721565
2023-07-20,Iraq,-3.4726809390994196
2025-03-14,China,1.054734864122006
2020-10-03,USA,-1.5229883586191286
2020-12-18,USA,-0.97606537106372959
2025-11-27,UAE,1.8941181790014436
2023-10-06,USA,-0.82058822999456993
2023-06-06,China,1.0428991403785364
2023-05-26,Iraq,-1.3600442141944
2020-02-19,Saudi Arabia,-0.5596608989395031
2020-02-15,UAE,0.60303781892338326
2021-07-15,UAE,0.76300043002702322
2021-06-11,Russia,-0.98766938391681147
2021-04-02,China,0.27409123483484793
2023-11-24,China,0.79719739449950977
2022-05-31,Russia,-2.3286683574105158
2024-04-09,UAE,2.2463440896278817
2023-05-08,USA,-0.981848607079309
2020-01-19,UAE,1.4251007057526097
2021-03-21,China,0.15374837049179649
2021-08-26,Saudi Arabia,0.19658971658080288
2023-02-05,USA,-1.1860982610536817
2023-08-26,Iraq,-1.5120160257146895
2020-06-21,Russia,-1.4117175527427652
2026-01-07,UAE,1.1789164077440513
2021-10-31,Iraq,-2.7837428529681092
2024-02-26,Saudi Arabia,0.43615699201891994
2021-07-09,Canada,-0.31360918757064365
2022-04-06,Canada,-0.13829409085376049
2020-09-21,Saudi Arabia,-0.17366003133591812
2020-05-21,Canada,-0.78894202006788461
2023-02-28,UAE,1.8116030551660216
2024-06-10,UAE,1.7738375730144276
2024-01-10,China,0.98116678493611664
2023-09-11,Russia,-1.4182540055797224
2022-11-22,China,0.2500715846565964
2022-10-30,Russia,-2.5633164555960088
2023-05-27,Russia,-2.2262575097969006
2022-12-29,Saudi Arabia,0.29608350321629423
2020-07-05,Russia,-1.7840876744254321
2021-11-14,USA,-1.2648984988612344
2022-03-05,Canada,-0.10162755596106807
2023-07-10,Canada,0.037167475233922706
2020-03-02,USA,-0.94575586989667881
